"ID","Title"
"C14","1. Открыть сайт https://aliexpress.ru/"
"C15","2. Нажать кнопку "" Мой профиль """
"C16","3. В поле "" email "" ввести валидный email"
"C17","4. Под полем "" Пароль "" нажать на кнопку "" Забыли пароль """
"C18","5. В новом окне главного сайта "" Alibaba Group "" в графе "" Имя "" указать валидную почту"
"C19","6. В поле "" Проверка "" провести бегунком вправо"
"C20","7.  Нажать кнопку "" Запросить """
"C21","8. В графе с подписью "" подтверждение по электронной почте Восстановление пароля через адрес, указанный при регистрации учётной записи "" нажать на кнопку "" Проверить сейчас """
"C22","9. В графу "" Проверочный код "" ввести код, который пришел на указанный email"
"C23","10. Нажать кнопку "" Подтвердить """
"C24","11. В поле "" Новый пароль : "" ввести новый пароль"
"C25","12. В поле "" Подтвердите новый пароль : "" повторить, введенный раннее, пароль"
"C26","13. Нажать кнопку "" Запросить """
